residue,method,d,a,b
90,formula_even,,,
91,formula_3_mod_4,,,
92,formula_even,,,
93,formula_divisible_by_3,,,
94,formula_even,,,
95,formula_3_mod_4,,,
96,formula_even,,,
97,general_key_d_3,3,2,10
98,formula_even,,,
99,formula_divisible_by_3,,,
100,formula_even,,,
101,general_key_d_3,3,4,8
102,formula_even,,,
103,formula_3_mod_4,,,
104,formula_even,,,
105,formula_divisible_by_3,,,
106,formula_even,,,
107,formula_3_mod_4,,,
108,formula_even,,,
109,general_key_d_3,3,4,8
110,formula_even,,,
111,formula_divisible_by_3,,,
112,formula_even,,,
113,general_key_d_7,7,4,24
114,formula_even,,,
115,formula_3_mod_4,,,
116,formula_even,,,
117,formula_divisible_by_3,,,
118,formula_even,,,
119,formula_3_mod_4,,,
120,formula_even,,,
121,uncovered,,,
122,formula_even,,,
123,formula_divisible_by_3,,,
124,formula_even,,,
125,general_key_d_3,3,4,8
126,formula_even,,,
127,formula_3_mod_4,,,
128,formula_even,,,
129,formula_divisible_by_3,,,
130,formula_even,,,
131,formula_3_mod_4,,,
132,formula_even,,,
133,general_key_d_3,3,4,8
134,formula_even,,,
135,formula_divisible_by_3,,,
136,formula_even,,,
137,general_key_d_7,7,4,24
138,formula_even,,,
139,formula_3_mod_4,,,
140,formula_even,,,
141,formula_divisible_by_3,,,
142,formula_even,,,
143,formula_3_mod_4,,,
144,formula_even,,,
145,general_key_d_3,3,2,10
146,formula_even,,,
147,formula_divisible_by_3,,,
148,formula_even,,,
149,general_key_d_3,3,4,8
150,formula_even,,,
151,formula_3_mod_4,,,
152,formula_even,,,
153,formula_divisible_by_3,,,
154,formula_even,,,
155,formula_3_mod_4,,,
156,formula_even,,,
157,general_key_d_3,3,4,8
158,formula_even,,,
159,formula_divisible_by_3,,,
160,formula_even,,,
161,general_key_d_7,7,4,24
162,formula_even,,,
163,formula_3_mod_4,,,
164,formula_even,,,
165,formula_divisible_by_3,,,
166,formula_even,,,
167,formula_3_mod_4,,,
168,formula_even,,,
169,uncovered,,,
170,formula_even,,,
171,formula_divisible_by_3,,,
172,formula_even,,,
173,general_key_d_3,3,4,8
174,formula_even,,,
175,formula_3_mod_4,,,
176,formula_even,,,
177,formula_divisible_by_3,,,
178,formula_even,,,
179,formula_3_mod_4,,,
180,formula_even,,,
181,general_key_d_3,3,4,8
182,formula_even,,,
183,formula_divisible_by_3,,,
184,formula_even,,,
185,general_key_d_7,7,4,24
186,formula_even,,,
187,formula_3_mod_4,,,
188,formula_even,,,
189,formula_divisible_by_3,,,
190,formula_even,,,
191,formula_3_mod_4,,,
192,formula_even,,,
193,general_key_d_7,7,8,20
194,formula_even,,,
195,formula_divisible_by_3,,,
196,formula_even,,,
197,general_key_d_3,3,4,8
198,formula_even,,,
199,formula_3_mod_4,,,
200,formula_even,,,
201,formula_divisible_by_3,,,
202,formula_even,,,
203,formula_3_mod_4,,,
204,formula_even,,,
205,general_key_d_3,3,4,8
206,formula_even,,,
207,formula_divisible_by_3,,,
208,formula_even,,,
209,general_key_d_7,7,4,24
210,formula_even,,,
211,formula_3_mod_4,,,
212,formula_even,,,
213,formula_divisible_by_3,,,
214,formula_even,,,
215,formula_3_mod_4,,,
216,formula_even,,,
217,general_key_d_3,3,2,10
218,formula_even,,,
219,formula_divisible_by_3,,,
220,formula_even,,,
221,general_key_d_3,3,4,8
222,formula_even,,,
223,formula_3_mod_4,,,
224,formula_even,,,
225,formula_divisible_by_3,,,
226,formula_even,,,
227,formula_3_mod_4,,,
228,formula_even,,,
229,general_key_d_3,3,4,8
230,formula_even,,,
231,formula_divisible_by_3,,,
232,formula_even,,,
233,general_key_d_7,7,4,24
234,formula_even,,,
235,formula_3_mod_4,,,
236,formula_even,,,
237,formula_divisible_by_3,,,
238,formula_even,,,
239,formula_3_mod_4,,,
240,formula_even,,,
241,general_key_d_11,11,2,42
242,formula_even,,,
243,formula_divisible_by_3,,,
244,formula_even,,,
245,general_key_d_3,3,4,8
246,formula_even,,,
247,formula_3_mod_4,,,
248,formula_even,,,
249,formula_divisible_by_3,,,
250,formula_even,,,
251,formula_3_mod_4,,,
252,formula_even,,,
253,general_key_d_3,3,4,8
254,formula_even,,,
255,formula_divisible_by_3,,,
256,formula_even,,,
257,general_key_d_7,7,4,24
258,formula_even,,,
259,formula_3_mod_4,,,
260,formula_even,,,
261,formula_divisible_by_3,,,
262,formula_even,,,
263,formula_3_mod_4,,,
264,formula_even,,,
265,general_key_d_3,3,2,10
266,formula_even,,,
267,formula_divisible_by_3,,,
268,formula_even,,,
269,general_key_d_3,3,4,8
270,formula_even,,,
271,formula_3_mod_4,,,
272,formula_even,,,
273,formula_divisible_by_3,,,
274,formula_even,,,
275,formula_3_mod_4,,,
276,formula_even,,,
277,general_key_d_3,3,4,8
278,formula_even,,,
279,formula_divisible_by_3,,,
280,formula_even,,,
281,general_key_d_7,7,4,24
282,formula_even,,,
283,formula_3_mod_4,,,
284,formula_even,,,
285,formula_divisible_by_3,,,
286,formula_even,,,
287,formula_3_mod_4,,,
288,formula_even,,,
289,uncovered,,,
290,formula_even,,,
291,formula_divisible_by_3,,,
292,formula_even,,,
293,general_key_d_3,3,4,8
294,formula_even,,,
295,formula_3_mod_4,,,
296,formula_even,,,
297,formula_divisible_by_3,,,
298,formula_even,,,
299,formula_3_mod_4,,,
300,formula_even,,,
301,general_key_d_3,3,4,8
302,formula_even,,,
303,formula_divisible_by_3,,,
304,formula_even,,,
305,general_key_d_7,7,4,24
306,formula_even,,,
307,formula_3_mod_4,,,
308,formula_even,,,
309,formula_divisible_by_3,,,
310,formula_even,,,
311,formula_3_mod_4,,,
312,formula_even,,,
313,general_key_d_7,7,8,20
314,formula_even,,,
315,formula_divisible_by_3,,,
316,formula_even,,,
317,general_key_d_3,3,4,8
318,formula_even,,,
319,formula_3_mod_4,,,
320,formula_even,,,
321,formula_divisible_by_3,,,
322,formula_even,,,
323,formula_3_mod_4,,,
324,formula_even,,,
325,general_key_d_3,3,4,8
326,formula_even,,,
327,formula_divisible_by_3,,,
328,formula_even,,,
329,general_key_d_7,7,4,24
330,formula_even,,,
331,formula_3_mod_4,,,
332,formula_even,,,
333,formula_divisible_by_3,,,
334,formula_even,,,
335,formula_3_mod_4,,,
336,formula_even,,,
337,general_key_d_3,3,2,10
338,formula_even,,,
339,formula_divisible_by_3,,,
340,formula_even,,,
341,general_key_d_3,3,4,8
342,formula_even,,,
343,formula_3_mod_4,,,
344,formula_even,,,
345,formula_divisible_by_3,,,
346,formula_even,,,
347,formula_3_mod_4,,,
348,formula_even,,,
349,general_key_d_3,3,4,8
350,formula_even,,,
351,formula_divisible_by_3,,,
352,formula_even,,,
353,general_key_d_7,7,4,24
354,formula_even,,,
355,formula_3_mod_4,,,
356,formula_even,,,
357,formula_divisible_by_3,,,
358,formula_even,,,
359,formula_3_mod_4,,,
360,formula_even,,,
361,uncovered,,,
362,formula_even,,,
363,formula_divisible_by_3,,,
364,formula_even,,,
365,general_key_d_3,3,4,8
366,formula_even,,,
367,formula_3_mod_4,,,
368,formula_even,,,
369,formula_divisible_by_3,,,
370,formula_even,,,
371,formula_3_mod_4,,,
372,formula_even,,,
373,general_key_d_3,3,4,8
374,formula_even,,,
375,formula_divisible_by_3,,,
376,formula_even,,,
377,general_key_d_7,7,4,24
378,formula_even,,,
379,formula_3_mod_4,,,
380,formula_even,,,
381,formula_divisible_by_3,,,
382,formula_even,,,
383,formula_3_mod_4,,,
384,formula_even,,,
385,general_key_d_3,3,2,10
386,formula_even,,,
387,formula_divisible_by_3,,,
388,formula_even,,,
389,general_key_d_3,3,4,8
390,formula_even,,,
391,formula_3_mod_4,,,
392,formula_even,,,
393,formula_divisible_by_3,,,
394,formula_even,,,
395,formula_3_mod_4,,,
396,formula_even,,,
397,general_key_d_3,3,4,8
398,formula_even,,,
399,formula_divisible_by_3,,,
400,formula_even,,,
401,general_key_d_7,7,4,24
402,formula_even,,,
403,formula_3_mod_4,,,
404,formula_even,,,
405,formula_divisible_by_3,,,
406,formula_even,,,
407,formula_3_mod_4,,,
408,formula_even,,,
409,general_key_d_11,11,2,42
410,formula_even,,,
411,formula_divisible_by_3,,,
412,formula_even,,,
413,general_key_d_3,3,4,8
414,formula_even,,,
415,formula_3_mod_4,,,
416,formula_even,,,
417,formula_divisible_by_3,,,
418,formula_even,,,
419,formula_3_mod_4,,,
420,formula_even,,,
421,general_key_d_3,3,4,8
422,formula_even,,,
423,formula_divisible_by_3,,,
424,formula_even,,,
425,general_key_d_7,7,4,24
426,formula_even,,,
427,formula_3_mod_4,,,
428,formula_even,,,
429,formula_divisible_by_3,,,
430,formula_even,,,
431,formula_3_mod_4,,,
432,formula_even,,,
433,general_key_d_7,7,8,20
434,formula_even,,,
435,formula_divisible_by_3,,,
436,formula_even,,,
437,general_key_d_3,3,4,8
438,formula_even,,,
439,formula_3_mod_4,,,
440,formula_even,,,
441,formula_divisible_by_3,,,
442,formula_even,,,
443,formula_3_mod_4,,,
444,formula_even,,,
445,general_key_d_3,3,4,8
446,formula_even,,,
447,formula_divisible_by_3,,,
448,formula_even,,,
449,general_key_d_7,7,4,24
450,formula_even,,,
451,formula_3_mod_4,,,
452,formula_even,,,
453,formula_divisible_by_3,,,
454,formula_even,,,
455,formula_3_mod_4,,,
456,formula_even,,,
457,general_key_d_3,3,2,10
458,formula_even,,,
459,formula_divisible_by_3,,,
460,formula_even,,,
461,general_key_d_3,3,4,8
462,formula_even,,,
463,formula_3_mod_4,,,
464,formula_even,,,
465,formula_divisible_by_3,,,
466,formula_even,,,
467,formula_3_mod_4,,,
468,formula_even,,,
469,general_key_d_3,3,4,8
470,formula_even,,,
471,formula_divisible_by_3,,,
472,formula_even,,,
473,general_key_d_7,7,4,24
474,formula_even,,,
475,formula_3_mod_4,,,
476,formula_even,,,
477,formula_divisible_by_3,,,
478,formula_even,,,
479,formula_3_mod_4,,,
480,formula_even,,,
481,general_key_d_23,23,8,84
482,formula_even,,,
483,formula_divisible_by_3,,,
484,formula_even,,,
485,general_key_d_3,3,4,8
486,formula_even,,,
487,formula_3_mod_4,,,
488,formula_even,,,
489,formula_divisible_by_3,,,
490,formula_even,,,
491,formula_3_mod_4,,,
492,formula_even,,,
493,general_key_d_3,3,4,8
494,formula_even,,,
495,formula_divisible_by_3,,,
496,formula_even,,,
497,general_key_d_7,7,4,24
498,formula_even,,,
499,formula_3_mod_4,,,
500,formula_even,,,
501,formula_divisible_by_3,,,
502,formula_even,,,
503,formula_3_mod_4,,,
504,formula_even,,,
505,general_key_d_3,3,2,10
506,formula_even,,,
507,formula_divisible_by_3,,,
508,formula_even,,,
509,general_key_d_3,3,4,8
510,formula_even,,,
511,formula_3_mod_4,,,
512,formula_even,,,
513,formula_divisible_by_3,,,
514,formula_even,,,
515,formula_3_mod_4,,,
516,formula_even,,,
517,general_key_d_3,3,4,8
518,formula_even,,,
519,formula_divisible_by_3,,,
520,formula_even,,,
521,general_key_d_7,7,4,24
522,formula_even,,,
523,formula_3_mod_4,,,
524,formula_even,,,
525,formula_divisible_by_3,,,
526,formula_even,,,
527,formula_3_mod_4,,,
528,formula_even,,,
529,uncovered,,,
530,formula_even,,,
531,formula_divisible_by_3,,,
532,formula_even,,,
533,general_key_d_3,3,4,8
534,formula_even,,,
535,formula_3_mod_4,,,
536,formula_even,,,
537,formula_divisible_by_3,,,
538,formula_even,,,
539,formula_3_mod_4,,,
540,formula_even,,,
541,general_key_d_3,3,4,8
542,formula_even,,,
543,formula_divisible_by_3,,,
544,formula_even,,,
545,general_key_d_7,7,4,24
546,formula_even,,,
547,formula_3_mod_4,,,
548,formula_even,,,
549,formula_divisible_by_3,,,
550,formula_even,,,
551,formula_3_mod_4,,,
552,formula_even,,,
553,general_key_d_7,7,8,20
554,formula_even,,,
555,formula_divisible_by_3,,,
556,formula_even,,,
557,general_key_d_3,3,4,8
558,formula_even,,,
559,formula_3_mod_4,,,
560,formula_even,,,
561,formula_divisible_by_3,,,
562,formula_even,,,
563,formula_3_mod_4,,,
564,formula_even,,,
565,general_key_d_3,3,4,8
566,formula_even,,,
567,formula_divisible_by_3,,,
568,formula_even,,,
569,general_key_d_7,7,4,24
570,formula_even,,,
571,formula_3_mod_4,,,
572,formula_even,,,
573,formula_divisible_by_3,,,
574,formula_even,,,
575,formula_3_mod_4,,,
576,formula_even,,,
577,general_key_d_3,3,2,10
578,formula_even,,,
579,formula_divisible_by_3,,,
580,formula_even,,,
581,general_key_d_3,3,4,8
582,formula_even,,,
583,formula_3_mod_4,,,
584,formula_even,,,
585,formula_divisible_by_3,,,
586,formula_even,,,
587,formula_3_mod_4,,,
588,formula_even,,,
589,general_key_d_3,3,4,8
590,formula_even,,,
591,formula_divisible_by_3,,,
592,formula_even,,,
593,general_key_d_7,7,4,24
594,formula_even,,,
595,formula_3_mod_4,,,
596,formula_even,,,
597,formula_divisible_by_3,,,
598,formula_even,,,
599,formula_3_mod_4,,,
600,formula_even,,,
601,general_key_d_15,15,4,56
602,formula_even,,,
603,formula_divisible_by_3,,,
604,formula_even,,,
605,general_key_d_3,3,4,8
606,formula_even,,,
607,formula_3_mod_4,,,
608,formula_even,,,
609,formula_divisible_by_3,,,
610,formula_even,,,
611,formula_3_mod_4,,,
612,formula_even,,,
613,general_key_d_3,3,4,8
614,formula_even,,,
615,formula_divisible_by_3,,,
616,formula_even,,,
617,general_key_d_7,7,4,24
618,formula_even,,,
619,formula_3_mod_4,,,
620,formula_even,,,
621,formula_divisible_by_3,,,
622,formula_even,,,
623,formula_3_mod_4,,,
624,formula_even,,,
625,general_key_d_3,3,2,10
626,formula_even,,,
627,formula_divisible_by_3,,,
628,formula_even,,,
629,general_key_d_3,3,4,8
630,formula_even,,,
631,formula_3_mod_4,,,
632,formula_even,,,
633,formula_divisible_by_3,,,
634,formula_even,,,
635,formula_3_mod_4,,,
636,formula_even,,,
637,general_key_d_3,3,4,8
638,formula_even,,,
639,formula_divisible_by_3,,,
640,formula_even,,,
641,general_key_d_7,7,4,24
642,formula_even,,,
643,formula_3_mod_4,,,
644,formula_even,,,
645,formula_divisible_by_3,,,
646,formula_even,,,
647,formula_3_mod_4,,,
648,formula_even,,,
649,general_key_d_23,23,8,84
650,formula_even,,,
651,formula_divisible_by_3,,,
652,formula_even,,,
653,general_key_d_3,3,4,8
654,formula_even,,,
655,formula_3_mod_4,,,
656,formula_even,,,
657,formula_divisible_by_3,,,
658,formula_even,,,
659,formula_3_mod_4,,,
660,formula_even,,,
661,general_key_d_3,3,4,8
662,formula_even,,,
663,formula_divisible_by_3,,,
664,formula_even,,,
665,general_key_d_7,7,4,24
666,formula_even,,,
667,formula_3_mod_4,,,
668,formula_even,,,
669,formula_divisible_by_3,,,
670,formula_even,,,
671,formula_3_mod_4,,,
672,formula_even,,,
673,general_key_d_7,7,8,20
674,formula_even,,,
675,formula_divisible_by_3,,,
676,formula_even,,,
677,general_key_d_3,3,4,8
678,formula_even,,,
679,formula_3_mod_4,,,
680,formula_even,,,
681,formula_divisible_by_3,,,
682,formula_even,,,
683,formula_3_mod_4,,,
684,formula_even,,,
685,general_key_d_3,3,4,8
686,formula_even,,,
687,formula_divisible_by_3,,,
688,formula_even,,,
689,general_key_d_7,7,4,24
690,formula_even,,,
691,formula_3_mod_4,,,
692,formula_even,,,
693,formula_divisible_by_3,,,
694,formula_even,,,
695,formula_3_mod_4,,,
696,formula_even,,,
697,general_key_d_3,3,2,10
698,formula_even,,,
699,formula_divisible_by_3,,,
700,formula_even,,,
701,general_key_d_3,3,4,8
702,formula_even,,,
703,formula_3_mod_4,,,
704,formula_even,,,
705,formula_divisible_by_3,,,
706,formula_even,,,
707,formula_3_mod_4,,,
708,formula_even,,,
709,general_key_d_3,3,4,8
710,formula_even,,,
711,formula_divisible_by_3,,,
712,formula_even,,,
713,general_key_d_7,7,4,24
714,formula_even,,,
715,formula_3_mod_4,,,
716,formula_even,,,
717,formula_divisible_by_3,,,
718,formula_even,,,
719,formula_3_mod_4,,,
720,formula_even,,,
721,general_key_d_11,11,2,42
722,formula_even,,,
723,formula_divisible_by_3,,,
724,formula_even,,,
725,general_key_d_3,3,4,8
726,formula_even,,,
727,formula_3_mod_4,,,
728,formula_even,,,
729,formula_divisible_by_3,,,
730,formula_even,,,
731,formula_3_mod_4,,,
732,formula_even,,,
733,general_key_d_3,3,4,8
734,formula_even,,,
735,formula_divisible_by_3,,,
736,formula_even,,,
737,general_key_d_7,7,4,24
738,formula_even,,,
739,formula_3_mod_4,,,
740,formula_even,,,
741,formula_divisible_by_3,,,
742,formula_even,,,
743,formula_3_mod_4,,,
744,formula_even,,,
745,general_key_d_3,3,2,10
746,formula_even,,,
747,formula_divisible_by_3,,,
748,formula_even,,,
749,general_key_d_3,3,4,8
750,formula_even,,,
751,formula_3_mod_4,,,
752,formula_even,,,
753,formula_divisible_by_3,,,
754,formula_even,,,
755,formula_3_mod_4,,,
756,formula_even,,,
757,general_key_d_3,3,4,8
758,formula_even,,,
759,formula_divisible_by_3,,,
760,formula_even,,,
761,general_key_d_7,7,4,24
762,formula_even,,,
763,formula_3_mod_4,,,
764,formula_even,,,
765,formula_divisible_by_3,,,
766,formula_even,,,
767,formula_3_mod_4,,,
768,formula_even,,,
769,general_key_d_15,15,4,56
770,formula_even,,,
771,formula_divisible_by_3,,,
772,formula_even,,,
773,general_key_d_3,3,4,8
774,formula_even,,,
775,formula_3_mod_4,,,
776,formula_even,,,
777,formula_divisible_by_3,,,
778,formula_even,,,
779,formula_3_mod_4,,,
780,formula_even,,,
781,general_key_d_3,3,4,8
782,formula_even,,,
783,formula_divisible_by_3,,,
784,formula_even,,,
785,general_key_d_7,7,4,24
786,formula_even,,,
787,formula_3_mod_4,,,
788,formula_even,,,
789,formula_divisible_by_3,,,
790,formula_even,,,
791,formula_3_mod_4,,,
792,formula_even,,,
793,general_key_d_7,7,8,20
794,formula_even,,,
795,formula_divisible_by_3,,,
796,formula_even,,,
797,general_key_d_3,3,4,8
798,formula_even,,,
799,formula_3_mod_4,,,
800,formula_even,,,
801,formula_divisible_by_3,,,
802,formula_even,,,
803,formula_3_mod_4,,,
804,formula_even,,,
805,general_key_d_3,3,4,8
806,formula_even,,,
807,formula_divisible_by_3,,,
808,formula_even,,,
809,general_key_d_7,7,4,24
810,formula_even,,,
811,formula_3_mod_4,,,
812,formula_even,,,
813,formula_divisible_by_3,,,
814,formula_even,,,
815,formula_3_mod_4,,,
816,formula_even,,,
817,general_key_d_3,3,2,10
818,formula_even,,,
819,formula_divisible_by_3,,,
820,formula_even,,,
821,general_key_d_3,3,4,8
822,formula_even,,,
823,formula_3_mod_4,,,
824,formula_even,,,
825,formula_divisible_by_3,,,
826,formula_even,,,
827,formula_3_mod_4,,,
828,formula_even,,,
829,general_key_d_3,3,4,8
830,formula_even,,,
831,formula_divisible_by_3,,,
832,formula_even,,,
833,general_key_d_7,7,4,24
834,formula_even,,,
835,formula_3_mod_4,,,
836,formula_even,,,
837,formula_divisible_by_3,,,
838,formula_even,,,
839,formula_3_mod_4,,,
840,formula_even,,,
841,uncovered,,,
842,formula_even,,,
843,formula_divisible_by_3,,,
844,formula_even,,,
845,general_key_d_3,3,4,8
846,formula_even,,,
847,formula_3_mod_4,,,
848,formula_even,,,
849,formula_divisible_by_3,,,
850,formula_even,,,
851,formula_3_mod_4,,,
852,formula_even,,,
853,general_key_d_3,3,4,8
854,formula_even,,,
855,formula_divisible_by_3,,,
856,formula_even,,,
857,general_key_d_7,7,4,24
858,formula_even,,,
859,formula_3_mod_4,,,
860,formula_even,,,
861,formula_divisible_by_3,,,
862,formula_even,,,
863,formula_3_mod_4,,,
864,formula_even,,,
865,general_key_d_3,3,2,10
866,formula_even,,,
867,formula_divisible_by_3,,,
868,formula_even,,,
869,general_key_d_3,3,4,8
870,formula_even,,,
871,formula_3_mod_4,,,
872,formula_even,,,
873,formula_divisible_by_3,,,
874,formula_even,,,
875,formula_3_mod_4,,,
876,formula_even,,,
877,general_key_d_3,3,4,8
878,formula_even,,,
879,formula_divisible_by_3,,,
880,formula_even,,,
881,general_key_d_7,7,4,24
882,formula_even,,,
883,formula_3_mod_4,,,
884,formula_even,,,
885,formula_divisible_by_3,,,
886,formula_even,,,
887,formula_3_mod_4,,,
888,formula_even,,,
889,general_key_d_11,11,2,42
890,formula_even,,,
891,formula_divisible_by_3,,,
892,formula_even,,,
893,general_key_d_3,3,4,8
894,formula_even,,,
895,formula_3_mod_4,,,
896,formula_even,,,
897,formula_divisible_by_3,,,
898,formula_even,,,
899,formula_3_mod_4,,,
900,formula_even,,,
901,general_key_d_3,3,4,8
902,formula_even,,,
903,formula_divisible_by_3,,,
904,formula_even,,,
905,general_key_d_7,7,4,24
906,formula_even,,,
907,formula_3_mod_4,,,
908,formula_even,,,
909,formula_divisible_by_3,,,
910,formula_even,,,
911,formula_3_mod_4,,,
912,formula_even,,,
913,general_key_d_7,7,8,20
914,formula_even,,,
915,formula_divisible_by_3,,,
916,formula_even,,,
917,general_key_d_3,3,4,8
918,formula_even,,,
919,formula_3_mod_4,,,
920,formula_even,,,
921,formula_divisible_by_3,,,
922,formula_even,,,
923,formula_3_mod_4,,,
924,formula_even,,,
925,general_key_d_3,3,4,8
926,formula_even,,,
927,formula_divisible_by_3,,,
928,formula_even,,,
929,general_key_d_7,7,4,24
930,formula_even,,,
931,formula_3_mod_4,,,
932,formula_even,,,
933,formula_divisible_by_3,,,
934,formula_even,,,
935,formula_3_mod_4,,,
936,formula_even,,,
937,general_key_d_3,3,2,10
938,formula_even,,,
939,formula_divisible_by_3,,,
940,formula_even,,,
941,general_key_d_3,3,4,8
942,formula_even,,,
943,formula_3_mod_4,,,
944,formula_even,,,
945,formula_divisible_by_3,,,
946,formula_even,,,
947,formula_3_mod_4,,,
948,formula_even,,,
949,general_key_d_3,3,4,8
950,formula_even,,,
951,formula_divisible_by_3,,,
952,formula_even,,,
953,general_key_d_7,7,4,24
954,formula_even,,,
955,formula_3_mod_4,,,
956,formula_even,,,
957,formula_divisible_by_3,,,
958,formula_even,,,
959,formula_3_mod_4,,,
960,formula_even,,,
961,uncovered,,,
962,formula_even,,,
963,formula_divisible_by_3,,,
964,formula_even,,,
965,general_key_d_3,3,4,8
966,formula_even,,,
967,formula_3_mod_4,,,
968,formula_even,,,
969,formula_divisible_by_3,,,
970,formula_even,,,
971,formula_3_mod_4,,,
972,formula_even,,,
973,general_key_d_3,3,4,8
974,formula_even,,,
975,formula_divisible_by_3,,,
976,formula_even,,,
977,general_key_d_7,7,4,24
978,formula_even,,,
979,formula_3_mod_4,,,
980,formula_even,,,
981,formula_divisible_by_3,,,
982,formula_even,,,
983,formula_3_mod_4,,,
984,formula_even,,,
985,general_key_d_3,3,2,10
986,formula_even,,,
987,formula_divisible_by_3,,,
988,formula_even,,,
989,general_key_d_3,3,4,8
990,formula_even,,,
991,formula_3_mod_4,,,
992,formula_even,,,
993,formula_divisible_by_3,,,
994,formula_even,,,
995,formula_3_mod_4,,,
996,formula_even,,,
997,general_key_d_3,3,4,8
998,formula_even,,,
999,formula_divisible_by_3,,,
1000,formula_even,,,
1001,general_key_d_7,7,4,24
1002,formula_even,,,
1003,formula_3_mod_4,,,
1004,formula_even,,,
1005,formula_divisible_by_3,,,
1006,formula_even,,,
1007,formula_3_mod_4,,,
1008,formula_even,,,
1009,uncovered,,,
1010,formula_even,,,
1011,formula_divisible_by_3,,,
1012,formula_even,,,
1013,general_key_d_3,3,4,8
1014,formula_even,,,
1015,formula_3_mod_4,,,
1016,formula_even,,,
1017,formula_divisible_by_3,,,
1018,formula_even,,,
1019,formula_3_mod_4,,,
1020,formula_even,,,
1021,general_key_d_3,3,4,8
1022,formula_even,,,
1023,formula_divisible_by_3,,,
1024,formula_even,,,
1025,general_key_d_7,7,4,24
1026,formula_even,,,
1027,formula_3_mod_4,,,
1028,formula_even,,,
1029,formula_divisible_by_3,,,
1030,formula_even,,,
1031,formula_3_mod_4,,,
1032,formula_even,,,
1033,general_key_d_7,7,8,20
1034,formula_even,,,
1035,formula_divisible_by_3,,,
1036,formula_even,,,
1037,general_key_d_3,3,4,8
1038,formula_even,,,
1039,formula_3_mod_4,,,
1040,formula_even,,,
1041,formula_divisible_by_3,,,
1042,formula_even,,,
1043,formula_3_mod_4,,,
1044,formula_even,,,
1045,general_key_d_3,3,4,8
1046,formula_even,,,
1047,formula_divisible_by_3,,,
1048,formula_even,,,
1049,general_key_d_7,7,4,24
1050,formula_even,,,
1051,formula_3_mod_4,,,
1052,formula_even,,,
1053,formula_divisible_by_3,,,
1054,formula_even,,,
1055,formula_3_mod_4,,,
1056,formula_even,,,
1057,general_key_d_3,3,2,10
1058,formula_even,,,
1059,formula_divisible_by_3,,,
1060,formula_even,,,
1061,general_key_d_3,3,4,8
1062,formula_even,,,
1063,formula_3_mod_4,,,
1064,formula_even,,,
1065,formula_divisible_by_3,,,
1066,formula_even,,,
1067,formula_3_mod_4,,,
1068,formula_even,,,
1069,general_key_d_3,3,4,8
1070,formula_even,,,
1071,formula_divisible_by_3,,,
1072,formula_even,,,
1073,general_key_d_7,7,4,24
1074,formula_even,,,
1075,formula_3_mod_4,,,
1076,formula_even,,,
1077,formula_divisible_by_3,,,
1078,formula_even,,,
1079,formula_3_mod_4,,,
1080,formula_even,,,
1081,general_key_d_11,11,2,42
1082,formula_even,,,
1083,formula_divisible_by_3,,,
1084,formula_even,,,
1085,general_key_d_3,3,4,8
